Account_ID,Company,Coverage Type,State,Zip Code,3 digit Zip,Species,Age,Breed,Billing,Gender,Deductible,Reimbursement,Annual Limit,Multipolicies,Multipet2,Multipet3,Military,LM Price,Safeco Price,Priority Code
614800,LM,Accident & Illness & Wellness,IN,47903,All,Cat,2,American Short-Haired,Monthly,Female,500,0.8,5000,true,true,false,true,43.58,,
614801,LM,Accident & Illness & Wellness,IN,47903,All,Cat,2,American Short-Haired,Monthly,Female,500,0.8,5000,true,true,false,true,43.58,,
614937,LM,Accident Only,MA,02111,All,Dog,2,Boykin Spaniel,Monthly,Female,500,0.8,10000,false,false,false,false,23.18,,
615032,LM,Accident Only,AL,35405,All,Dog,2,"Bulldog, American",Monthly,Male,250,0.8,10000,false,false,false,true,26.03,,
615088,LM,Accident & Illness & Wellness,PA,19002,All,Dog,6,Shih Tzu,Monthly,Male,500,0.8,10000,false,true,false,false,83.44,,
615089,LM,Accident & Illness & Wellness,PA,19002,All,Dog,3,Labrador Retriever,Monthly,Female,500,0.8,10000,false,true,false,false,78.73,,
615173,LM,Accident & Illness & Wellness,TN,37122,371,Dog,2,Mixed Breed,Monthly,Male,250,0.8,5000,true,false,false,false,75.35,,
615387,LM,Accident & Illness,TX,78702,787,Dog,11,Labrador Retriever,Monthly,Female,500,0.8,10000,false,true,false,false,53.78,,
615388,LM,Accident & Illness,TX,78702,787,Cat,7,Burmese,Monthly,Male,500,0.8,10000,false,true,false,false,19.03,,
615558,LM,Accident & Illness,TX,78735,787,Dog,2,Barbet,Monthly,Male,500,0.8,10000,false,false,false,false,33.42,,
615679,LM,Accident & Illness & Wellness,MA,02114,All,Dog,2,Mixed Breed,Monthly,Male,500,0.7,10000,true,false,false,true,67.55,,
615764,LM,Accident & Illness,PA,19087,All,Dog,2,Morkie,Monthly,Female,250,0.8,5000,true,false,false,false,46.3,,
615920,LM,Accident & Illness,TX,77008,770,Cat,4,Domestic Short-Haired,Monthly,Male,1000,0.9,15000,false,true,false,false,17.81,,
615921,LM,Accident & Illness,TX,77008,770,Cat,4,Domestic Short-Haired,Monthly,Male,1000,0.9,15000,false,true,false,false,17.81,,
616857,LM,Accident Only,FL,33436,334,Dog,14,Labrador Retriever,Monthly,Male,250,0.8,10000,false,false,false,false,85.89,,
616924,LM,Accident Only,TX,79765,797,Dog,4,Cane Corso,Monthly,Male,500,0.8,10000,false,false,false,false,19.18,,
617076,LM,Accident & Illness,MA,02127,All,Dog,10,Labradoodle,Monthly,Female,500,0.8,10000,true,false,false,false,68.41,,PDLIBERTY
617088,LM,Accident & Illness & Wellness,MA,02563,All,Dog,2,Mixed Breed,Monthly,Male,250,0.8,5000,true,false,false,false,73.54,,PDLIBERTY
617107,LM,Accident & Illness,PA,15765,All,Cat,6,Mixed Cat,Monthly,Male,250,0.8,10000,false,false,false,true,32.21,,
617134,LM,Accident & Illness,MA,02338,All,Dog,2,Labrador Retriever,Monthly,Male,500,0.8,10000,false,false,false,false,52.53,,
617352,LM,Accident & Illness,SC,29466,294,Dog,3,Mixed Breed,Monthly,Male,1000,0.9,15000,false,false,false,false,29.61,,
617373,LM,Accident & Illness,VA,24450,244,Dog,2,Goldendoodle,Monthly,Male,500,0.7,10000,true,false,false,false,33.34,,PDLIBERTY
617426,LM,Accident & Illness,IL,62704,627,Dog,11,Labrador Mix,Monthly,Female,500,0.8,10000,false,true,false,false,91.61,,
617427,LM,Accident & Illness & Wellness,IL,62704,627,Dog,2,German Shepherd Dog,Monthly,Female,500,0.8,10000,false,true,false,false,96.56,,
617447,LM,Accident & Illness & Wellness,CO,80921,809,Dog,2,Large Mix (51-100 pounds),Monthly,Male,250,0.9,15000,true,false,false,false,83.58,,PDLIBERTY
617492,LM,Accident & Illness & Wellness,TX,75068,750,Dog,6,Large Mix (51-100 pounds),Monthly,Female,500,0.8,10000,true,false,false,false,67.85,,PDLIBERTY
617609,LM,Accident & Illness,PA,19363,All,Dog,2,"Bulldog, English",Monthly,Male,250,0.8,5000,true,false,false,false,57.59,,
617621,LM,Accident & Illness,NH,03249,All,Cat,4,Domestic Short-Haired,Monthly,Female,250,1,10000,false,false,false,false,31.07,,
617625,LM,Accident Only,FL,33196,331,Dog,4,Pomeranian,Monthly,Female,250,0.8,10000,false,false,false,false,36.41,,PDLIBERTY
617700,LM,Accident & Illness & Wellness,TX,75009,750,Dog,2,Boston Terrier,Monthly,Female,250,0.7,5000,true,true,false,false,70.89,,PDLIBERTY
617701,LM,Accident & Illness & Wellness,TX,75009,750,Dog,2,Boston Terrier,Monthly,Male,250,0.7,5000,true,true,false,false,70.89,,PDLIBERTY
617982,LM,Accident Only,CA,90601,906,Cat,3,Domestic Short-Haired,Monthly,Male,250,0.9,15000,false,true,false,false,10.65,,LMBENEFITHUB
617983,LM,Accident Only,CA,90601,906,Cat,3,Domestic Short-Haired,Monthly,Male,250,0.9,15000,false,true,false,false,10.65,,LMBENEFITHUB
618004,LM,Accident & Illness,CA,95207,952,Dog,2,Boerboel,Monthly,Male,500,0.8,10000,false,true,false,false,61.84,,
618005,LM,Accident & Illness,CA,95207,952,Dog,2,Boerboel,Monthly,Female,500,0.8,10000,false,true,false,false,61.84,,
618098,LM,Accident & Illness,VA,20111,201,Dog,4,Mixed Breed,Monthly,Male,500,0.8,10000,false,true,false,false,46.26,,
618099,LM,Accident & Illness,VA,20111,201,Dog,8,Mixed Breed,Monthly,Female,500,0.8,10000,false,true,false,false,55.09,,
618186,LM,Accident Only,NH,03256,All,Dog,2,Labrador Retriever,Monthly,Female,500,0.9,5000,false,false,false,false,17.14,,
618198,LM,Accident & Illness,NH,03824,All,Dog,3,Labradoodle,Monthly,Male,500,0.8,10000,true,false,false,true,37.29,,PDLIBERTY
618223,LM,Accident & Illness,IN,46032,All,Dog,9,Mixed Breed,Monthly,Female,250,0.8,5000,false,false,false,false,55.69,,PDLIBERTY
618233,LM,Accident & Illness,ID,83815,All,Dog,2,Rottweiler,Monthly,Male,1000,0.8,10000,false,false,false,false,41.53,,PDLIBERTY
618362,LM,Accident & Illness,TX,75088,750,Dog,5,German Shepherd Dog,Monthly,Female,500,0.8,10000,true,false,false,false,47.74,,PDLIBERTY
618388,LM,Accident & Illness,CA,90814,908,Cat,11,Calico,Monthly,Female,500,0.8,10000,false,false,false,false,33.27,,LMBENEFITHUB
618423,LM,Accident & Illness & Wellness,IN,46033,All,Dog,5,Labrador Mix,Monthly,Male,250,0.9,10000,true,false,false,false,74.06,,PDLIBERTY
618469,LM,Accident & Illness,PA,19465,All,Dog,2,Catahoula Leopard Dog,Monthly,Male,500,0.8,10000,false,false,false,false,44.79,,
618542,LM,Accident & Illness & Wellness,MA,02019,All,Dog,3,Labrador Retriever,Monthly,Female,500,0.7,5000,true,false,false,false,57.12,,PDLIBERTY
618570,LM,Accident & Illness & Wellness,TX,78219,782,Dog,9,German Shepherd Dog,Monthly,Male,500,0.8,10000,false,false,false,false,78.43,,
618676,LM,Accident & Illness & Wellness,MA,02721,All,Dog,9,American Staffordshire Terrier,Monthly,Male,500,0.7,5000,false,false,false,false,99.48,,
618714,LM,Accident & Illness & Wellness,CO,80528,805,Dog,2,Labrador Mix,Monthly,Female,250,1,5000,true,false,false,false,99.12,,
618909,LM,Accident Only,FL,33612,336,Dog,2,Pitbull,Monthly,Female,250,0.8,5000,false,true,false,false,76.73,,PDLIBERTY
618910,LM,Accident Only,FL,33612,336,Dog,10,Shih Tzu,Monthly,Male,250,0.8,5000,false,true,false,false,36.54,,PDLIBERTY
618921,LM,Accident Only,CA,94518,945,Dog,4,Labrador Mix,Monthly,Female,500,0.9,5000,false,false,false,false,21.16,,PDLIBERTY
618941,LM,Accident Only,MA,02472,All,Dog,5,Pembroke Welsh Corgi,Monthly,Male,500,0.9,15000,true,false,false,false,22.8,,PDLIBERTY
618999,LM,Accident & Illness,PA,19027,All,Dog,2,Mixed Breed,Monthly,Female,500,0.8,10000,false,false,false,false,37.73,,LMBENEFITHUB
619025,LM,Accident & Illness & Wellness,MA,02148,All,Cat,7,Bengal,Monthly,Male,250,0.9,10000,true,false,false,false,56.43,,PDLIBERTY
619029,LM,Accident & Illness & Wellness,RI,02905,All,Dog,13,Mixed Breed,Monthly,Female,1000,0.8,10000,false,false,false,false,76.12,,
619183,LM,Accident & Illness,MA,02379,All,Dog,4,Yorkshire Terrier,Monthly,Female,250,0.8,10000,false,false,false,false,68.72,,
619191,LM,Accident & Illness & Wellness,TX,76102,761,Cat,9,Domestic Short-Haired,Monthly,Female,500,0.8,10000,false,true,false,false,53.77,,
619192,LM,Accident & Illness & Wellness,TX,76102,761,Cat,9,Domestic Medium-Hair,Monthly,Female,500,0.8,10000,false,true,false,false,53.77,,
619230,LM,Accident Only,MN,55129,551,Dog,3,Pug,Monthly,Female,250,0.9,10000,false,false,false,false,25.15,,
619292,LM,Accident & Illness,OH,44708,All,Dog,2,Great Pyrenees,Monthly,Female,500,0.8,10000,false,false,false,false,57.48,,
619303,LM,Accident & Illness,IN,46637,All,Dog,3,Mixed Breed,Monthly,Female,1000,0.9,15000,true,false,false,false,26.29,,LMLIFEMART
619563,LM,Accident & Illness,DC,20018,All,Dog,3,Border Collie,Monthly,Male,500,0.8,10000,false,false,false,false,48.32,,LMBENEFITHUB
619628,LM,Accident & Illness,TX,77057,770,Dog,3,Medium Mix (26-50 pounds),Monthly,Female,500,0.8,15000,false,false,false,false,40.5,,PDLIBERTY
619646,LM,Accident & Illness,CO,80112,801,Dog,2,"Bulldog, French",Monthly,Female,500,0.9,10000,false,false,false,false,64.18,,
619726,LM,Accident & Illness,RI,02921,All,Dog,4,Bichon Frise,Monthly,Male,1000,0.8,10000,false,false,false,false,25.98,,PDLIBERTY
619737,LM,Accident & Illness,CO,80233,802,Dog,2,"Bulldog, English",Monthly,Female,1000,0.9,15000,false,false,false,false,45.49,,LMLIFEMART
619761,LM,Accident & Illness,VA,23220,232,Cat,10,Tabby,Monthly,Male,250,0.8,10000,false,false,false,false,39.93,,
619807,LM,Accident & Illness,AZ,85014,All,Cat,10,Mixed Cat,Monthly,Male,250,0.9,15000,false,false,false,false,55.48,,LMBENEFITHUB
619870,LM,Accident & Illness & Wellness,AZ,85086,All,Cat,5,Domestic Short-Haired,Monthly,Female,250,0.8,5000,true,true,false,false,55.14,,PDLIBERTY
619871,LM,Accident & Illness & Wellness,AZ,85086,All,Cat,5,Domestic Short-Haired,Monthly,Male,250,0.9,5000,true,true,false,false,55.14,,PDLIBERTY
620016,LM,Accident Only,FL,34639,346,Dog,11,Akita,Monthly,Female,500,0.8,15000,false,false,false,false,34.02,,PDLIBERTY
620141,LM,Accident & Illness & Wellness,NH,03042,All,Dog,13,Medium Mix (26-50 pounds),Monthly,Female,250,0.7,5000,false,false,false,false,63.69,,PDLIBERTY
620260,LM,Accident & Illness,TX,75042,750,Dog,6,Medium Mix (26-50 pounds),Monthly,Female,250,1,10000,false,true,false,false,55.36,,PDLIBERTY
620261,LM,Accident & Illness,TX,75042,750,Dog,2,Goldendoodle,Monthly,Male,250,1,10000,false,true,false,false,50.37,,PDLIBERTY
620301,LM,Accident & Illness,VA,23487,234,Dog,10,Large Mix (51-100 pounds),Monthly,Female,1000,0.8,10000,false,false,false,true,33.01,,
620312,LM,Accident & Illness & Wellness,AZ,85331,All,Dog,9,Cavalier King Charles Spaniel,Monthly,Male,1000,0.9,15000,true,true,false,false,74.68,,
620313,LM,Accident & Illness & Wellness,AZ,85331,All,Dog,9,Cavalier King Charles Spaniel,Monthly,Female,1000,0.9,15000,true,true,false,false,74.68,,
620379,LM,Accident Only,AZ,85281,All,Dog,4,Medium Mix (26-50 pounds),Monthly,Male,250,0.9,15000,false,false,false,false,34.25,,PDLIBERTY
620555,LM,Accident Only,FL,33173,331,Dog,7,Golden Retriever,Monthly,Female,250,0.9,10000,false,false,false,false,53.85,,PDLIBERTY
620557,LM,Accident & Illness,NC,27540,All,Dog,6,"Bulldog, English",Monthly,Male,250,0.7,5000,true,false,false,true,72.47,,PDLIBERTY
620605,LM,Accident & Illness,IL,60504,605,Dog,7,Mixed Breed,Monthly,Female,500,0.9,10000,false,false,false,false,65.23,,PDLIBERTY
620699,LM,Accident & Illness,TN,37076,370,Cat,6,Mixed Cat,Monthly,Male,250,0.8,10000,true,false,false,false,27.84,,PDLIBERTY
620701,LM,Accident & Illness,IL,60463,604,Cat,2,Sphynx,Monthly,Male,500,0.8,10000,true,false,false,false,23.24,,PDLIBERTY
620718,LM,Accident & Illness,CA,92879,928,Dog,3,Labrador Retriever,Monthly,Female,500,0.8,10000,true,true,false,false,36.55,,PDLIBERTY
620719,LM,Accident & Illness,CA,92879,928,Dog,3,Labrador Retriever,Monthly,Male,500,0.8,10000,true,true,false,false,36.55,,PDLIBERTY
620749,LM,Accident & Illness & Wellness,TX,75407,754,Dog,4,Large Mix (51-100 pounds),Monthly,Male,250,0.9,5000,true,false,false,false,73.59,,PDLIBERTY
620752,LM,Accident & Illness,CA,92688,926,Dog,8,Golden Retriever,Monthly,Female,250,0.9,10000,false,false,false,false,112.42,,LMBENEFITHUB
620889,LM,Accident & Illness,TX,75211,752,Dog,5,Olde English Bulldogge,Monthly,Female,500,0.9,5000,false,false,false,false,45.84,,PDLIBERTY
620928,LM,Accident & Illness & Wellness,NH,03839,All,Dog,3,"Bulldog, French",Monthly,Male,500,0.8,10000,false,false,false,false,62.96,,PDLIBERTY
620991,LM,Accident Only,FL,34102,341,Dog,7,Pug,Monthly,Male,500,0.8,10000,false,false,false,false,74.83,,LMLIFEMART
620995,LM,Accident Only,FL,32714,327,Dog,4,Dachshund-Miniature Long,Monthly,Male,500,0.9,15000,false,false,false,false,54.95,,PDLIBERTY
622222,LM,Accident & Illness & Wellness,PA,19335,All,Dog,3,German Shepherd Dog,Monthly,Male,250,0.8,10000,false,false,false,false,89.11,,
622279,LM,Accident & Illness & Wellness,NH,03857,All,Cat,9,American Long-Haired,Monthly,Male,250,0.9,10000,true,true,false,false,49.85,,PDLIBERTY
622280,LM,Accident & Illness & Wellness,NH,03857,All,Cat,12,Domestic Short-Haired,Monthly,Female,250,0.9,10000,true,true,false,false,59.87,,PDLIBERTY
622294,LM,Accident Only,PA,19147,All,Dog,6,Mixed Breed,Monthly,Male,250,0.7,10000,false,false,false,false,19.93,,PDLIBERTY
622336,LM,Accident & Illness & Wellness,NH,03833,All,Dog,8,"Poodle, Miniature",Monthly,Male,250,0.9,10000,false,false,false,false,88.74,,PDLIBERTY
622352,LM,Accident Only,OH,43214,All,Dog,6,Mixed Breed,Monthly,Female,500,0.9,15000,false,true,false,false,24.83,,PDLIBERTY
622353,LM,Accident Only,OH,43214,All,Dog,6,Labrador Mix,Monthly,Male,500,0.9,15000,false,true,false,false,24.83,,PDLIBERTY
622354,LM,Accident Only,OH,43214,All,Dog,5,Mixed Breed,Monthly,Female,500,0.9,15000,false,true,false,false,24.83,,PDLIBERTY
622355,LM,Accident Only,OH,43214,All,Cat,8,Calico,Monthly,Female,500,0.9,10000,false,true,false,false,10.3,,PDLIBERTY
622356,LM,Accident Only,OH,43214,All,Cat,9,Mixed Breed,Monthly,Female,500,0.9,10000,false,true,false,false,10.3,,PDLIBERTY
622357,LM,Accident Only,OH,43214,All,Cat,9,Mixed Breed,Monthly,Male,500,0.9,10000,false,true,false,false,10.3,,PDLIBERTY
622407,LM,Accident Only,CA,94523,945,Dog,2,German Shorthaired Pointer,Monthly,Male,500,0.9,10000,true,false,false,false,23.3,,PDLIBERTY
622465,LM,Accident Only,FL,34715,347,Dog,2,Yorkshire Terrier,Monthly,Male,250,0.9,15000,false,false,false,false,61.68,,
622498,LM,Accident & Illness,MA,01089,All,Dog,2,"Bulldog, French",Monthly,Female,250,0.9,10000,false,false,false,false,80.81,,
622506,LM,Accident & Illness & Wellness,VA,23114,231,Dog,5,Siberian Husky,Monthly,Female,500,0.8,5000,false,false,false,false,69.68,,
622514,LM,Accident & Illness & Wellness,MA,01013,All,Dog,6,Siberian Husky,Monthly,Male,500,0.9,10000,false,false,false,false,96.17,,PDLIBERTY
622572,LM,Accident Only,NM,87114,871,Dog,2,Shih Tzu,Monthly,Female,250,0.9,5000,true,true,false,false,23.38,,PDLIBERTY
622573,LM,Accident Only,NM,87114,871,Dog,5,Shih Tzu,Monthly,Male,250,0.9,5000,true,true,false,false,23.38,,PDLIBERTY
622680,LM,Accident & Illness,CA,93446,934,Dog,4,Labrador Retriever,Monthly,Female,500,0.8,10000,false,false,false,false,59.44,,
622766,LM,Accident & Illness,TX,78741,787,Dog,2,Mixed Breed,Monthly,Male,250,1,10000,true,false,false,false,36.59,,
622875,LM,Accident & Illness & Wellness,CA,91316,913,Dog,3,Labradoodle,Monthly,Male,500,1,15000,false,false,false,false,91.63,,PDLIBERTY
622992,LM,Accident & Illness & Wellness,NC,28212,All,Cat,2,American Short-Haired,Monthly,Male,250,0.9,15000,true,false,false,false,53.94,,LMBENEFITHUB
623005,LM,Accident & Illness,MA,01938,All,Dog,6,Labrador Retriever,Monthly,Male,500,0.8,10000,false,false,false,false,63.98,,
623087,LM,Accident & Illness & Wellness,RI,02879,All,Cat,2,Persian,Monthly,Male,250,0.9,10000,false,false,false,false,59.71,,
623091,LM,Accident Only,FL,32766,327,Dog,4,German Shepherd,Monthly,Female,250,0.9,10000,false,false,false,false,48.16,,PDLIBERTY
623095,LM,Accident & Illness,DC,20002,All,Dog,3,Mixed Breed,Monthly,Male,500,0.9,10000,false,false,false,false,51.51,,LMBENEFITHUB
623154,LM,Accident & Illness,CO,80230,802,Dog,2,Chihuahua,Monthly,Male,1000,0.9,5000,false,true,false,false,33.6,,
623155,LM,Accident & Illness & Wellness,CO,80230,802,Dog,2,Chihuahua,Monthly,Male,1000,0.9,5000,false,true,false,false,74.71,,
623214,LM,Accident & Illness,TN,38301,383,Dog,4,Mixed Breed,Monthly,Male,500,0.8,10000,false,false,false,false,41.52,,LMBENEFITHUB
623246,LM,Accident & Illness & Wellness,CA,90802,908,Dog,6,Boston Terrier,Monthly,Male,500,0.8,10000,true,false,false,false,65.62,,PDLIBERTY
623312,LM,Accident & Illness & Wellness,TN,37135,371,Dog,5,Greyhound,Monthly,Female,500,0.8,10000,false,false,false,false,77.9,,LMBENEFITHUB
623402,LM,Accident Only,ID,83702,All,Dog,14,Siberian Husky,Monthly,Male,500,0.9,10000,false,false,false,false,27.45,,
623421,LM,Accident & Illness,KY,42748,All,Dog,11,Catahoula Leopard Dog,Monthly,Male,500,0.9,15000,false,false,false,false,94.71,,LMBENEFITHUB
623454,LM,Accident & Illness & Wellness,NH,03801,All,Dog,2,Mixed Breed,Monthly,Female,250,0.8,10000,true,false,false,false,60.06,,PDLIBERTY
623462,LM,Accident & Illness & Wellness,IN,46204,All,Dog,4,Golden Retriever,Monthly,Male,250,0.8,5000,false,false,false,true,67.42,,LMBENEFITHUB
623484,LM,Accident Only,MD,21231,212,Dog,7,Golden Retriever,Monthly,Male,1000,0.9,15000,false,true,false,false,14.5,,LMBENEFITHUB
623485,LM,Accident Only,MD,21231,212,Dog,3,Golden Retriever,Monthly,Male,1000,0.9,15000,false,true,false,false,14.5,,LMBENEFITHUB
623590,LM,Accident & Illness & Wellness,MA,01801,All,Cat,6,Mixed Cat,Monthly,Male,250,0.8,10000,false,true,false,false,50.64,,PDLIBERTY
623591,LM,Accident & Illness & Wellness,MA,01801,All,Cat,4,Mixed Cat,Monthly,Male,250,0.8,10000,false,true,false,false,49.27,,PDLIBERTY
623592,LM,Accident & Illness,MA,01801,All,Cat,3,Maine Coon,Monthly,Male,250,0.8,10000,false,true,false,false,28.22,,PDLIBERTY
623620,LM,Accident Only,FL,34655,346,Dog,8,Mixed (Small 11-30 Lbs.),Monthly,Male,250,0.8,5000,false,false,false,false,30.27,,LMBENEFITHUB
623694,LM,Accident & Illness,MA,01970,All,Dog,3,Doberman Pinscher,Monthly,Male,250,0.8,5000,true,false,false,false,57.02,,
623724,LM,Accident Only,FL,32836,328,Dog,11,Mixed (Toy 0-10 Lbs),Monthly,Male,1000,0.7,5000,false,true,false,false,8.52,,
623725,LM,Accident Only,FL,32836,328,Dog,10,Chihuahua,Monthly,Female,1000,0.7,5000,false,true,false,false,5.15,,
623781,LM,Accident Only,AR,72204,All,Dog,3,Mixed Breed,Monthly,Male,500,0.8,10000,false,false,false,false,17.99,,
623805,LM,Accident & Illness & Wellness,NH,03060,All,Cat,12,Domestic Short-Haired,Monthly,Male,500,0.8,10000,false,false,false,false,53.67,,PDLIBERTY
623820,LM,Accident & Illness & Wellness,MA,01923,All,Dog,2,Labrador Mix,Monthly,Male,500,0.8,10000,true,false,false,false,71.3,,
623952,LM,Accident & Illness & Wellness,AZ,85383,All,Dog,3,Havanese,Monthly,Female,250,0.9,10000,false,false,false,false,116.68,,
623990,LM,Accident & Illness,CA,94505,945,Dog,6,Goldendoodle,Monthly,Male,1000,0.7,10000,false,false,false,false,38.05,,PDLIBERTY
624074,LM,Accident & Illness,MA,02130,All,Dog,13,Labrador Mix,Monthly,Male,500,0.8,10000,true,false,false,false,89.12,,PDLIBERTY
624142,LM,Accident Only,MA,01880,All,Cat,18,Domestic Short-Haired,Monthly,Male,250,0.9,15000,false,true,false,false,12.87,,PDLIBERTY
624143,LM,Accident Only,MA,01880,All,Cat,14,Siamese,Monthly,Male,250,0.9,15000,false,true,false,false,12.87,,PDLIBERTY
624149,LM,Accident & Illness & Wellness,MA,01760,All,Cat,14,Maine Coon,Monthly,Female,500,0.8,10000,false,false,false,false,76.92,,PDLIBERTY
624150,LM,Accident Only,FL,33903,339,Dog,12,Maltese,Monthly,Female,500,0.8,10000,false,false,false,false,54.91,,PDLIBERTY
624162,LM,Accident & Illness,TX,75072,750,Dog,2,"Bulldog, French",Monthly,Male,250,0.8,15000,false,true,false,true,56.95,,PDLIBERTY
624163,LM,Accident & Illness,TX,75072,750,Dog,7,Golden Retriever,Monthly,Female,250,0.8,10000,false,true,false,true,64.53,,PDLIBERTY
624164,LM,Accident & Illness,TX,75072,750,Dog,4,Boston Terrier,Monthly,Male,500,0.8,10000,false,true,false,true,41.61,,PDLIBERTY
624176,LM,Accident & Illness,CA,94066,940,Cat,2,Domestic Short-Haired,Monthly,Male,500,0.8,10000,false,true,false,false,24.81,,LMLIFEMART
624177,LM,Accident & Illness,CA,94066,940,Cat,2,Domestic Short-Haired,Monthly,Male,500,0.8,10000,false,true,false,false,24.81,,LMLIFEMART
624189,LM,Accident Only,MA,02145,All,Dog,2,Goldendoodle,Monthly,Female,500,0.8,10000,false,false,false,false,20.86,,PDLIBERTY
624190,LM,Accident & Illness,PA,18052,All,Dog,4,Greater Swiss Mountain Dog,Monthly,Male,1000,0.9,10000,true,false,false,false,40.24,,PDLIBERTY
624196,LM,Accident & Illness,MA,01501,All,Dog,2,Goldendoodle,Monthly,Male,1000,0.9,5000,false,false,false,true,32.36,,PDLIBERTY
624299,LM,Accident & Illness,MA,02453,All,Cat,9,American Short-Haired,Monthly,Male,500,0.8,10000,false,false,false,false,33.8,,PDLIBERTY
624327,LM,Accident & Illness & Wellness,ID,83854,All,Dog,3,Boston Terrier,Monthly,Male,250,0.8,10000,true,false,false,false,103.8,,PDLIBERTY
624334,LM,Accident & Illness,ID,83835,All,Dog,2,Mixed Breed,Monthly,Male,250,0.8,10000,true,false,false,false,59.39,,PDLIBERTY
624343,LM,Accident & Illness,TX,75068,750,Dog,5,"Bulldog, French",Monthly,Male,250,0.8,15000,false,false,false,false,66.42,,LMBENEFITHUB
